linha_clinica_global,principio_ativo,marcas_global,qtd_skus_global,qtd_entradas_global,preco_global_ultimo_r_un,preco_global_media_r_un,preco_global_mediana_r_un,preco_global_min_r_un,preco_global_max_r_un,global_dt_ultima_entrada,unimed_cod_item,unimed_desc_depara,unimed_desc_item,unimed_unidade_venda,preco_unimed_vl_medio_r_un,unimed_prev_mes_qtd,unimed_prev_mes_rs,unimed_abc,unimed_politica,gap_pct_ultimo_global_vs_unimed,gap_pct_media_global_vs_unimed,gap_pct_mediana_global_vs_unimed,gap_rs_ultimo_global_menos_unimed,economia_pot_mensal_rs_ultimo,depara_origem,depara_confianca,preco_unimed_normalizado_r_un,economia_pot_mensal_rs_mediana,oportunidade_mensal_rs,risco_mensal_rs,depara_ok_preco,flags_revisao,fonte_preco_global,fonte_preco_unimed
OMEPRAZOL (20MG CAPS GELATINOSA DURA),OMEPRAZOL,"['BELFAR', 'EMS']",3,3,0.07,0.16678566666666664,0.185714,0.07,0.244643,2026-01-15,87061,omeprazol 20 mg cap dura lib retard,omeprazol 20 mg cap dura lib retard,Cápsula,0.24,103.2,24.768,C,MEDICAMENTOS,-70.8,-30.5,-22.6,-0.17,-17.54,llm,0.95,0.24,-5.6,5.6,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
BROMOPRIDA (10MG COMPRIMIDO),BROMOPRIDA,"['EMS', 'GERMED', 'LEGRAND', 'PRATI DONADUZZI']",5,5,0.13125,0.5162500000000001,0.165,0.12,2.0,2025-12-31,86535,bromoprida 10 mg com,bromoprida 10 mg com,Comprimido,0.21,117.9,24.759,C,MEDICAMENTOS,-37.5,145.8,-21.4,-0.0787,-9.28,fuzzy_alta,0.97,0.21,-5.31,5.31,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TUBO ENDOTRAQUEAL 4.0 S/BALAO,PRODUTOS PARA SAUDE,['SOLIDOR'],1,1,2.064,2.064,2.064,2.064,2.064,2022-09-30,87683,"sonda endotraqueal com balao n° 4,0","sonda endotraqueal com balao n° 4,0",Unidade,4.15,5.9,24.485000000000003,C,MATERIAIS,-50.3,-50.3,-50.3,-2.086,-12.31,fuzzy_alta,0.86,4.15,-12.31,12.31,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TRIANCINOLONA ACETONIDA TOPICO ( ACETONIDA 1 MG/G BG 10G),TRIANCINOLONA ACETONIDA,"['EMS', 'GERMED', 'PRATI DONADUZZI']",3,3,2.5,2.6533333333333333,2.5,2.0,3.46,2025-09-08,87274,"triancinolona, acetonida 1 mg/g pom bucal 10 g ","triancinolona, acetonida 1 mg/g pom bucal 10 g ",Bisnaga,3.86,6.0,23.16,C,MEDICAMENTOS,-35.2,-31.3,-35.2,-1.36,-8.16,llm,1.0,3.86,-8.16,8.16,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ACIDO TRANEXAMICO (250MG CP),ACIDO TRANEXAMICO,"['EMS', 'ZYDUS']",3,3,0.808333,0.8694443333333334,0.808333,0.6,1.2,2025-07-31,86428,acido tranexamico 250 mg com,acido tranexamico 250 mg com,Comprimido,1.15,20.0,23.0,C,MEDICAMENTOS,-29.7,-24.4,-29.7,-0.3417,-6.83,llm,1.0,1.15,-6.83,6.83,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORIDRATO DE CIPROFLOXACINO (500MG COMPRIMIDO),CLORIDRATO DE CIPROFLOXACINO,"['LABORATORIO GLOBO', 'PHARLAB']",2,2,0.292857,0.3789285,0.3789285,0.292857,0.465,2025-08-01,86626,ciprofloxacino 500 mg com rev,ciprofloxacino 500 mg com rev,Comprimido,0.55,41.4,22.77,C,MEDICAMENTOS,-46.8,-31.1,-31.1,-0.2571,-10.65,llm,1.0,0.55,-7.08,7.08,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CETOCONAZOL TOPICO (20MG/G CREME BISNAGA) ,CETOCONAZOL,"['EMS', 'NATIVITA']",4,4,2.99,3.2199999999999998,2.895,2.8,4.29,2026-03-27,86326,cetoconazol 20 mg/g cr derm bg 30 g,cetoconazol 20 mg/g cr derm bg 30 g,Bisnaga,6.34,3.5,22.189999999999998,C,MEDICAMENTOS,-52.8,-49.2,-54.3,-3.35,-11.72,llm,1.0,6.34,-12.06,12.06,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CARBOMER 340  TOPICO  (2MG/G GEL OFT 10G),CARBOMER 340,['BAUSCH+LOMB'],1,1,29.86,29.86,29.86,29.86,29.86,2025-02-28,86567,"carbômer 2 mg/g + sorbitol 48,5 mg/g gel oft bg 10 g","carbômer 2 mg/g + sorbitol 48,5 mg/g gel oft bg 10 g",Bisnaga,39.39,0.55,21.6645,C,MEDICAMENTOS,-24.2,-24.2,-24.2,-9.53,-5.24,llm,1.0,39.39,-5.24,5.24,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"CARBOMER+SORBITOL TOPICO (2,0+48,5MG/G GEL OFT 10G)",CARBOMER+SORBITOL,['BAUSCH+LOMB'],1,1,29.86,29.86,29.86,29.86,29.86,2024-11-29,86567,"carbômer 2 mg/g + sorbitol 48,5 mg/g gel oft bg 10 g","carbômer 2 mg/g + sorbitol 48,5 mg/g gel oft bg 10 g",Bisnaga,39.39,0.55,21.6645,C,MEDICAMENTOS,-24.2,-24.2,-24.2,-9.53,-5.24,fuzzy_alta,0.85,39.39,-5.24,5.24,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORIDRATO DE CICLOBENZAPRINA (5MG COMPRIMIDO),CLORIDRATO DE CICLOBENZAPRINA,['EMS'],1,1,0.1,0.1,0.1,0.1,0.1,2025-10-13,86340,ciclobenzaprina 5 mg com rev,ciclobenzaprina 5 mg com rev,Comprimido,0.16,133.1,21.296,C,MEDICAMENTOS,-37.5,-37.5,-37.5,-0.06,-7.99,llm,1.0,0.16,-7.99,7.99,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
VASELINA LIQUIDA 1000ML,VASELINA,"['RIOQUIMICA', 'VIC PHARMA']",2,2,36.33,36.915,36.915,36.33,37.5,2024-08-23,83940,vaselina 1000ml,vaselina 1000ml,Frasco,46.92,0.45,21.114,C,MATERIAIS,-22.6,-21.3,-21.3,-10.59,-4.77,fuzzy_alta,1.0,46.92,-4.5,4.5,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LORATADINA (10MG COMPRIMIDO),LORATADINA,['EMS'],2,2,0.131667,0.13916699999999999,0.13916699999999999,0.131667,0.146667,2024-01-29,86937,loratadina 10 mg com,loratadina 10 mg com,Comprimido,0.37,52.9,19.573,C,MEDICAMENTOS,-64.4,-62.4,-62.4,-0.2383,-12.61,llm,1.0,0.37,-12.21,12.21,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CANULA GUEDEL  NÂ¿ 5 TAMANHO 110MM,PRODUTOS PARA SAUDE,['DESCARPACK'],1,1,0.7821,0.7821,0.7821,0.7821,0.7821,2025-06-18,111151,canula de guedell estéril nº 5,canula de guedell estéril nº 5,Unidade,1.93,10.1,19.493,C,CARRINHOS HUN,-59.5,-59.5,-59.5,-1.1479,-11.59,llm,1.0,1.93,-11.59,11.59,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ATENOLOL (25MG COMPRIMIDO),ATENOLOL,"['EMS', 'PRATI DONADUZZI', 'SANDOZ']",4,4,0.034083,0.30518750000000006,0.0783335,0.034083,1.03,2025-12-31,86488,atenolol 25 mg com,atenolol 25 mg com,Comprimido,0.09,215.2,19.368,C,MEDICAMENTOS,-62.1,239.1,-13.0,-0.0559,-12.03,fuzzy_alta,0.97,0.09,-2.51,2.51,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TOPIRAMATO SOLIDO (100MG CP C1 ),TOPIRAMATO,"['EMS', 'ZYDUS']",2,2,0.26,0.2500835,0.2500835,0.240167,0.26,2025-12-16,87257,topiramato 100 mg com rev,topiramato 100 mg com rev,Comprimido,0.31,61.1,18.941,C,MEDICAMENTOS,-16.1,-19.3,-19.3,-0.05,-3.05,llm,1.0,0.31,-3.66,3.66,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SULFAMETOXAZOL + TRIMETOPRIMA LIQUIDO (200+40 MG/5ML SUS ORAL),SULFAMETOXAZOL+TRIMETOPRIMA,"['EMS', 'FQM']",3,3,12.3428,8.951940333333333,10.973021,3.54,12.3428,2025-06-04,92908,sulfametoxazol + trimetoprima 200 mg + 40mg/5ml sus or fr 100 ml ,sulfametoxazol + trimetoprima 200 mg + 40mg/5ml sus or fr 100 ml ,Frasco,4.61,4.1,18.901,C,MEDICAMENTOS,167.7,94.2,138.0,7.7328,31.7,fuzzy_alta,0.85,4.61,26.09,0.0,26.09,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TUBO ENDOTRAQUEAL 3.0 S/BALAO,PRODUTOS PARA SAUDE,['SOLIDOR'],1,1,2.027,2.027,2.027,2.027,2.027,2022-12-19,87565,"sonda endotraqueal sem balao n° 3,0","sonda endotraqueal sem balao n° 3,0",Unidade,3.02,6.2,18.724,C,CARRINHOS HUN,-32.9,-32.9,-32.9,-0.993,-6.16,llm,1.0,3.02,-6.16,6.16,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TOPIRAMATO SOLIDO (25MG CP C1 VP ),TOPIRAMATO,['EMS'],1,1,0.133333,0.133333,0.133333,0.133333,0.133333,2023-05-16,87258,topiramato 25 mg com rev,topiramato 25 mg com rev,Comprimido,0.18,103.9,18.702,C,MEDICAMENTOS,-25.9,-25.9,-25.9,-0.0467,-4.85,llm,1.0,0.18,-4.85,4.85,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
IBUPROFENO (400MG CAPSULA),IBUPROFENO,['COSMED'],1,1,0.57,0.57,0.57,0.57,0.57,2024-05-10,86871,ibuprofeno 400 mg cap mole,ibuprofeno 400 mg cap mole,Comprimido,1.17,15.9,18.602999999999998,C,ITENS BAIXO CONSUMO,-51.3,-51.3,-51.3,-0.6,-9.54,fuzzy_alta,0.87,1.17,-9.54,9.54,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"TANSULOSINA  ( 0,4MG CP) LIB PROL",TANSULOSINA,['ZYDUS'],1,1,0.483,0.483,0.483,0.483,0.483,2025-08-27,87223,"tansulosina 0,4 mg com rev lib prol","tansulosina 0,4 mg com rev lib prol",Comprimido,0.52,35.7,18.564000000000004,C,MEDICAMENTOS,-7.1,-7.1,-7.1,-0.037,-1.32,llm,0.94,0.52,-1.32,1.32,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORIDRATO DE VENLAFAXINA (75MG CAP) C1 ,CLORIDRATO DE VENLAFAXINA,"['CELLERA', 'LABORATORIO GLOBO']",2,2,0.31,0.341505,0.341505,0.31,0.37301,2025-09-17,87300,venlafaxina 75 mg cap dura lib prol,venlafaxina 75 mg cap dura lib prol,Cápsula,0.68,26.9,18.292,C,MEDICAMENTOS,-54.4,-49.8,-49.8,-0.37,-9.95,llm,0.8,0.68,-9.11,9.11,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
MALEATO DE ENALAPRIL (10MG COMPRIMIDO),MALEATO DE ENALAPRIL,"['ALTEFAR', 'EMS', 'GERMED']",3,3,0.059667,0.08622233333333333,0.099,0.059667,0.1,2025-08-27,86947,enalapril 10 mg com,enalapril 10 mg com,Comprimido,0.1,180.3,18.03,C,MEDICAMENTOS,-40.3,-13.8,-1.0,-0.0403,-7.27,llm,1.0,0.1,-0.18,0.18,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
OLANZAPINA (10 MG CP),OLANZAPINA,['PRATI DONADUZZI'],1,1,0.32,0.32,0.32,0.32,0.32,2025-10-17,87050,olanzapina 10 mg com rev,olanzapina 10 mg com rev,Comprimido,0.49,36.7,17.983,C,MEDICAMENTOS,-34.7,-34.7,-34.7,-0.17,-6.24,llm,1.0,0.49,-6.24,6.24,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
RISPERIDONA (1MG COMPRIMIDO REV) C1,RISPERIDONA,"['ACCORD', 'CRISTALIA', 'GEOLAB']",3,3,0.113333,0.10666666666666667,0.113333,0.076667,0.13,2026-03-12,87159,risperidona 1 mg com rev,risperidona 1 mg com rev,Comprimido,0.18,98.7,17.766,C,MEDICAMENTOS,-37.0,-40.7,-37.0,-0.0667,-6.58,fuzzy_alta,0.92,0.18,-6.58,6.58,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"CLORIDRATO DE BUPIVACAINA (0,50% SOL INJ EPIDURAL/PERINEURAL FA 20ML)",CLORIDRATO DE BUPIVACAINA+HEMITARTARATO DE EPINEFRINA,"['CRISTALIA', 'HYPOFARMA']",3,3,4.49,11.83,15.0,4.49,16.0,2025-09-23,86545,bupivacaina 5 mg/ml com vaso sol inj fa 20 ml,bupivacaina 5 mg/ml com vaso sol inj fa 20 ml,Frasco Ampola,21.76,0.8,17.408,C,MEDICAMENTOS,-79.4,-45.6,-31.1,-17.27,-13.82,llm,0.9,21.76,-5.41,5.41,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"HEMIFUMARATO DE BISOPROLOL (1,25MG COMPRIMIDO REVESTIDO)",HEMIFUMARATO DE BISOPROLOL,['EMS'],2,2,0.173,0.1731665,0.1731665,0.173,0.173333,2025-08-08,83651,"bisoprolol 1,25 mg com rev","bisoprolol 1,25 mg com rev",Comprimido,0.24,71.7,17.208,C,MEDICAMENTOS,-27.9,-27.8,-27.8,-0.067,-4.8,llm,1.0,0.24,-4.79,4.79,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
BROMAZEPAM (3MG COMPRIMIDO SIMPLES) B1,BROMAZEPAM,"['EMS', 'GERMED', 'HYPERA']",3,3,0.096333,0.23777766666666666,0.096333,0.083333,0.533667,2025-08-04,86531,bromazepam 3 mg com,bromazepam 3 mg com,Comprimido,0.24,69.4,16.656000000000002,C,ITENS BAIXO CONSUMO,-59.9,-0.9,-59.9,-0.1437,-9.97,fuzzy_alta,0.85,0.24,-9.97,9.97,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORIDRATO DE ONDANSETRONA SOLIDO (4MG CP ORODISP) ORAL,CLORIDRATO DE ONDANSETRONA DI-HIDRATADO,"['BIOLAB', 'LEGRAND', 'NEO QUIMICA']",4,4,0.2533,0.390575,0.3745,0.2533,0.56,2025-04-29,87067,ondansetrona 4 mg com orodisp,ondansetrona 4 mg com orodisp,Comprimido,0.41,40.1,16.441,C,MEDICAMENTOS,-38.2,-4.7,-8.7,-0.1567,-6.28,llm,1.0,0.41,-1.42,1.42,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CETOCONAZOL 200MG CP,CETOCONAZOL,['LABORATORIO GLOBO'],1,1,0.260667,0.260667,0.260667,0.260667,0.260667,2025-09-03,86328,cetoconazol 200 mg com,cetoconazol 200 mg com,Comprimido,0.83,19.2,15.935999999999998,C,MEDICAMENTOS,-68.6,-68.6,-68.6,-0.5693,-10.93,llm,0.95,0.83,-10.93,10.93,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SUPOSITORIO ADULTO DE GLICERINA C (2392MG ENVELOPE PLASTICO),GLICEROL,['LABORATORIO GLOBO'],1,1,0.698333,0.698333,0.698333,0.698333,0.698333,2023-06-05,87215,supositorio de glicerina adulto,supositorio de glicerina adulto,Unidade,1.87,8.4,15.708000000000002,C,MEDICAMENTOS,-62.7,-62.7,-62.7,-1.1717,-9.84,llm,1.0,1.87,-9.84,9.84,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
OXALATO DE ESCITALOPRAM (20MG COMPRIMIDO) C1,OXALATO DE ESCITALOPRAM,['FQM'],1,1,1.9225,1.9225,1.9225,1.9225,1.9225,2023-05-26,86763,"escitalopram, oxalato de 20 mg com rev","escitalopram, oxalato de 20 mg com rev",Comprimido,0.45,34.8,15.659999999999998,C,MEDICAMENTOS,327.2,327.2,327.2,1.4725,51.24,fuzzy_alta,0.92,0.45,51.24,0.0,51.24,False,preco_depara_incompativel,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LORAZEPAM (2MG COMPRIMIDO) B5,LORAZEPAM,"['EMS', 'TEUTO']",2,2,0.1025,0.10655,0.10655,0.1025,0.1106,2025-07-31,86938,lorazepam 2 mg com,lorazepam 2 mg com,Comprimido,0.13,119.5,15.535,C,MEDICAMENTOS,-21.2,-18.0,-18.0,-0.0275,-3.29,fuzzy_alta,0.89,0.13,-2.8,2.8,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
AMOXICILINA (50MG/ML PO SUS OR 150ML),AMOXICILINA TRI-HIDRATADA,"['EMS', 'NEO QUIMICA']",3,3,8.15,13.976666666666667,10.5,8.15,23.28,2023-11-28,86472,amoxicilina 50 mg/ml sus or fr 150 ml,amoxicilina 50 mg/ml sus or fr 150 ml,Frasco,17.04,0.9,15.336,C,MEDICAMENTOS,-52.2,-18.0,-38.4,-8.89,-8.0,fuzzy_alta,0.87,17.04,-5.89,5.89,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SONDA FOLEY 3 VIAS FR 16 C/ BALAO 30CC,PRODUTOS PARA SAUDE,['SOLIDOR'],1,1,2.929886,2.929886,2.929886,2.929886,2.929886,2022-09-30,87590,sonda foley 3 vias n° 16,sonda foley 3 vias n° 16,Unidade,7.91,1.9,15.029,C,MATERIAIS,-63.0,-63.0,-63.0,-4.9801,-9.46,fuzzy_alta,0.95,7.91,-9.46,9.46,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
PREDNISOLONA SOLIDO (20MG COMPRIMIDO),PREDNISOLONA,"['EMS', 'MANTERCORP FARMA', 'NEO QUIMICA']",6,6,0.268,0.48666600000000004,0.50325,0.194496,0.775,2025-08-04,86851,prednisona 20 mg com,prednisona 20 mg com,Comprimido,0.23,64.8,14.904,C,MEDICAMENTOS,16.5,111.6,118.8,0.038,2.46,llm,0.9,0.23,17.71,0.0,17.71,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"DESLANOSIDEO INJETAVEL ( 0,2MG/ML INJ IV/IM 2ML)",DESLANOSIDEO,['UNIAO QUIMICA'],1,1,1.86,1.86,1.86,1.86,1.86,2023-07-28,86684,"deslanosideo 0,2 mg/ml sol inj amp 2 ml","deslanosideo 0,2 mg/ml sol inj amp 2 ml",Ampola,2.25,6.55,14.737499999999999,C,CARRINHOS HUN,-17.3,-17.3,-17.3,-0.39,-2.55,llm,1.0,2.25,-2.55,2.55,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TUBO ENDOTRAQUEAL 6.5 C/BALAO,PRODUTOS PARA SAUDE,['SOLIDOR'],1,1,2.9,2.9,2.9,2.9,2.9,2022-12-19,87574,"sonda endotraqueal com balao n° 6,5","sonda endotraqueal com balao n° 6,5",Unidade,4.49,3.2,14.368000000000002,C,MATERIAIS,-35.4,-35.4,-35.4,-1.59,-5.09,llm,0.95,4.49,-5.09,5.09,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
METILDOPA (250MG CP REV),METILDOPA,['EMS'],1,1,0.289,0.289,0.289,0.289,0.289,2025-10-14,86970,metildopa 250 mg com rev,metildopa 250 mg com rev,Comprimido,0.47,30.1,14.147,C,MEDICAMENTOS,-38.5,-38.5,-38.5,-0.181,-5.45,llm,1.0,0.47,-5.45,5.45,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CAPTOPRIL (25MG COMPRIMIDO),CAPTOPRIL,"['EMS', 'GERMED', 'LABORATORIO GLOBO']",4,4,0.055,0.06333325000000001,0.065,0.055,0.068333,2025-08-01,86562,captopril 25 mg com,captopril 25 mg com,Comprimido,0.07,200.5,14.035000000000002,C,MEDICAMENTOS,-21.4,-9.5,-7.1,-0.015,-3.01,fuzzy_alta,0.97,0.07,-1.0,1.0,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
DIAZEPAM (5MG ENVELOPE) B1,DIAZEPAM,['SANTISA'],2,2,0.042,0.041,0.041,0.04,0.042,2025-12-04,86707,diazepam 5 mg com,diazepam 5 mg com,Comprimido,0.08,173.9,13.912,C,MEDICAMENTOS,-47.5,-48.8,-48.8,-0.038,-6.61,llm,0.9,0.08,-6.78,6.78,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
DIAZEPAM (5MG COMPRIMIDO) B1,DIAZEPAM,"['CRISTALIA', 'GERMED']",3,3,0.075,0.07177766666666667,0.075,0.053333,0.087,2025-09-22,86707,diazepam 5 mg com,diazepam 5 mg com,Comprimido,0.08,173.9,13.912,C,MEDICAMENTOS,-6.3,-10.3,-6.3,-0.005,-0.87,llm,1.0,0.08,-0.87,0.87,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CARVEDILOL (25MG COMPRIMIDO),CARVEDILOL,['EMS'],2,2,0.123333,0.123333,0.123333,0.123333,0.123333,2024-10-24,86576,carvedilol 25 mg com,carvedilol 25 mg com,Comprimido,0.15,90.5,13.575,C,MEDICAMENTOS,-17.8,-17.8,-17.8,-0.0267,-2.41,fuzzy_alta,0.97,0.15,-2.41,2.41,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ESPIRONOLACTONA (50MG COMPRIMIDO),ESPIRONOLACTONA,['EMS'],1,1,0.216667,0.216667,0.216667,0.216667,0.216667,2025-06-13,86775,espironolactona 50 mg com,espironolactona 50 mg com,Comprimido,0.38,35.0,13.3,C,MEDICAMENTOS,-43.0,-43.0,-43.0,-0.1633,-5.72,fuzzy_alta,0.98,0.38,-5.72,5.72,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SONDA FOLEY 2 VIAS FR 18 C/ BALAO 5-10CC,PRODUTOS PARA SAUDE,['DESCARPACK'],1,1,1.80396,1.80396,1.80396,1.80396,1.80396,2023-12-12,87591,sonda foley 3 vias n° 18,sonda foley 3 vias n° 18,Unidade,9.62,1.35,12.987,C,MATERIAIS,-81.2,-81.2,-81.2,-7.816,-10.55,fuzzy_alta,0.9,9.62,-10.55,10.55,0.0,False,preco_depara_incompativel,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ACICLOVIR 50MG/G (5%) BG CREM 10G,ACICLOVIR,"['EMS', 'PHARLAB']",2,2,2.77,3.085,3.085,2.77,3.4,2024-05-10,86411, aciclovir 50 mg/g cr derm bg 10 g, aciclovir 50 mg/g cr derm bg 10 g,Bisnaga,3.31,3.92,12.9752,C,MEDICAMENTOS,-16.3,-6.8,-6.8,-0.54,-2.12,llm,1.0,3.31,-0.88,0.88,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORIDRATO DE METFORMINA (500MG CP REV),METFORMINA,['PRATI DONADUZZI'],2,2,0.14,0.1296625,0.1296625,0.119325,0.14,2025-11-14,86967,metformina 500 mg com rev,metformina 500 mg com rev,Comprimido,0.14,91.4,12.796000000000001,C,MEDICAMENTOS,0.0,-7.4,-7.4,0.0,0.0,llm,1.0,0.14,-0.94,0.94,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SERTRALINA (50MG COMPRIMIDO) C1,SERTRALINA,['LABORATORIO GLOBO'],2,2,0.17,0.14500000000000002,0.14500000000000002,0.12,0.17,2025-09-11,87181,sertralina 50 mg com rev,sertralina 50 mg com rev,Comprimido,0.2,63.4,12.68,C,MEDICAMENTOS,-15.0,-27.5,-27.5,-0.03,-1.9,llm,1.0,0.2,-3.49,3.49,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"MALEATO DE DEXCLORFENIRAMINA (0,4MG/ML SOL ORAL FRASCO 120ML)",MALEATO DE DEXCLORFENIRAMINA,['EMS'],2,2,3.3,3.05,3.05,2.8,3.3,2025-09-08,86696,"dexclorfeniramina 0,4 mg/ml sol or fr 120 ml","dexclorfeniramina 0,4 mg/ml sol or fr 120 ml",Frasco,3.99,3.1,12.369000000000002,C,MEDICAMENTOS,-17.3,-23.6,-23.6,-0.69,-2.14,llm,1.0,3.99,-2.91,2.91,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"MALEATO DE DEXCLORFENIRAMINA (0,4MG/ML XAROPE 100ML)",MALEATO DE DEXCLORFENIRAMINA,['NEO QUIMICA'],1,1,3.03,3.03,3.03,3.03,3.03,2024-08-28,86696,"dexclorfeniramina 0,4 mg/ml sol or fr 120 ml","dexclorfeniramina 0,4 mg/ml sol or fr 120 ml",Frasco,3.99,3.1,12.369000000000002,C,MEDICAMENTOS,-24.1,-24.1,-24.1,-0.96,-2.98,llm,0.9,3.99,-2.98,2.98,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CARVEDILOL (3.125MG COMPRIMIDO),CARVEDILOL,"['EMS', 'ZYDUS']",2,2,0.065,0.07500000000000001,0.07500000000000001,0.065,0.085,2025-08-27,86577,"carvedilol 3,125 mg com","carvedilol 3,125 mg com",Comprimido,0.08,152.1,12.168,C,MEDICAMENTOS,-18.8,-6.2,-6.2,-0.015,-2.28,fuzzy_alta,0.98,0.08,-0.76,0.76,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"SULFAMETOXAZOL+TRIMETOPRIMA (800+160MG COMPRIMIDO
",SULFAMETOXAZOL+TRIMETOPRIMA,"['BELFAR', 'FQM']",3,3,0.31,0.6336076666666667,0.795306,0.31,0.795517,2025-09-11,87207,sulfametoxazol + trimetoprima 800 mg + 160 mg com,sulfametoxazol + trimetoprima 800 mg + 160 mg com,Comprimido,0.78,15.3,11.934000000000001,C,MEDICAMENTOS,-60.3,-18.8,2.0,-0.47,-7.19,llm,1.0,0.78,0.23,0.0,0.23,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
