NUM_NOTA,DT_EMISSAO_NOTA,DT_ENTRADA,COD_PRODUTO,DESCRICAO_PRODUTO,MARCA,PRINCIPIO_ATIVO,LINHA_PRODUTO,CUSTO_ENTRADA,QT_ENTRADA,QT_ESTOQUE_ANTERIOR,CUSTO_MED_ANTERIOR,COD_FORNECEDOR,RAZAO_SOCIAL
259354,2025-07-30,2025-08-08,3531,CLORETO DE SODIO 9MG/ML SOL INJ IV 500ML,JP INDUSTRIA,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 500ML),3.55,4440,0,3.79,314,JP INDUSTRIA FARMACEUTICA S/A
437422,2025-08-30,2025-09-05,3214,CLORETO DE SODIO 9MG/ML SOL INJ 500ML,FARMARIN,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 500ML),3.0,1760,7376,3.88,1161,FARMARIN INDUSTRIA E COMERCIO LTDA
387557,2023-03-24,2023-03-28,4004,CLORETO DE SODIO 9MG/ML SOL INJ 500ML VP,HALEX ISTAR,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 500ML),6.22,9000,0,0.0,597,HALEX ISTAR INDUSTRIA FARMACEUTICA SA
127576,2025-05-29,2025-06-24,2967,CLORETO DE SODIO 9MG/ML SOL INJ IV 500ML,EQUIPLEX,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 500ML),3.6,3240,5352,4.4,502,EQUIPLEX INDUSTRIA FARMACEUTICA LTDA
73786,2025-05-06,2025-05-08,3526,CLORETO DE SODIO 9MG/ML SOL INJ IV 500ML,EUROFARMA,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 500ML),4.39,2400,1,4.5,864,EUROFARMA LABORATORIOS S.A.
98955,2024-03-10,2024-03-21,439,CLORETO DE SODIO 9MG/ML SOL INJ IV 500ML,FRESENIUS,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 500ML),4.2,600,160,4.2,722,FRESENIUS KABI BRASIL LTDA.
465003,2026-05-25,2026-05-28,5885,CLORETO DE SODIO 9MG/ML SOL INJ 500ML,FARMARIN,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 500ML),3.05,2340,0,0.0,1161,FARMARIN INDUSTRIA E COMERCIO LTDA
429297,2025-01-31,2025-02-12,3657,CLORETO DE SODIO 9MG/ML SOL INJ 500ML,HALEX ISTAR,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 500ML),4.5,9720,1860,4.65,597,HALEX ISTAR INDUSTRIA FARMACEUTICA SA
100640,2024-04-03,2024-04-23,2781,CLORETO DE SODIO 9MG/ML SOL INJ IV 50ML,FRESENIUS,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 50ML),3.0,1440,0,3.0,1079,FRESENIUS KABI BRASIL
293908,2022-09-28,2022-10-10,2959,CLORETO DE SODIO 9MG/ML SOL INJ IV 250ML,FARMACE,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV FR SIST FECH 250ML),5.26,16850,23150,5.26,157,FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA
73786,2025-05-06,2025-05-08,3528,CLORETO DE SODIO 9MG/ML SOL INJ IV 250ML,EUROFARMA,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV FR SIST FECH 250ML),3.94,1000,0,3.58,864,EUROFARMA LABORATORIOS S.A.
429297,2025-01-31,2025-02-12,3111,CLORETO DE SODIO 9MG/ML SOL INJ IV 250ML,HALEX ISTAR,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV FR SIST FECH 250ML),3.6,9600,100,3.8,597,HALEX ISTAR INDUSTRIA FARMACEUTICA SA
98269,2024-02-29,2024-03-11,438,CLORETO DE SODIO 9MG/ML SOL INJ IV 250ML,FRESENIUS,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV FR SIST FECH 250ML),3.5,17280,544,3.52,722,FRESENIUS KABI BRASIL LTDA.
132219,2026-03-10,2026-03-19,388,CLORETO DE SODIO 9MG/ML SOL INJ IV 250ML,EQUIPLEX,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV FR SIST FECH 250ML),2.7,2280,40,3.0,502,EQUIPLEX INDUSTRIA FARMACEUTICA LTDA
263460,2025-09-30,2025-10-06,5407,CLORETO DE SODIO 9MG/ML SOL INJ IV 250ML,JP INDUSTRIA,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV FR SIST FECH 250ML),2.75,280,0,0.0,314,JP INDUSTRIA FARMACEUTICA S/A
421591,2025-04-09,2025-04-17,4922,CLORETO DE SODIO 9MG/ML SOL INJ IV 250ML,FARMARIN,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV FR SIST FECH 250ML),3.12,200,23950,3.12,1161,FARMARIN INDUSTRIA E COMERCIO LTDA
420681,2024-08-30,2024-09-12,3580,SOLUÇÃO SALINA BALANCEADA SOL OFT  250ML,HALEX ISTAR,CLORETO DE SÓDIO + CLORETO DE POTÁSSIO +CLORETO DE CÁLCIO DI-HIDRATADO + LACTATO DE SÓDIO,CLORETO DE SODIO + CLORETO DE POT¿SSIO +CLORETO DE LIQUIDO ( SOL OFT 250ML),18.0,100,0,20.0,597,HALEX ISTAR INDUSTRIA FARMACEUTICA SA
450358,2025-10-31,2025-11-06,3581,SOLUCAO SALINA BALANCEADA SOL OFT 500ML,HALEX ISTAR,CLORETO DE SÓDIO + CLORETO DE POTÁSSIO +CLORETO DE CÁLCIO DI-HIDRATADO + LACTATO DE SÓDIO,CLORETO DE SODIO + CLORETO DE POT¿SSIO +CLORETO DE LIQUIDO ( SOL OFT 500ML),28.0,300,0,28.0,597,HALEX ISTAR INDUSTRIA FARMACEUTICA SA
427177,2025-06-10,2025-06-25,4924,MARESIS BABY SPRAY 150ML,FQM,CLORETO DE SODIO,"CLORETO DE SODIO 0,9% SPRAY NASAL 150 ML BABY",24.07425,200,0,22.77,1202,DIVCOM S/A
425425,2025-05-30,2025-06-12,4910,MARESIS JATO FORTE SPRAY 150 ML,FQM,CLORETO DE SODIO,"CLORETO DE SODIO 0,9% SPRAY NASAL 150 ML JATO FORTE",26.1879,100,0,24.87,1202,DIVCOM S/A
425425,2025-05-30,2025-06-12,4356,MARESIS AR SPR 150ML,FQM,CLORETO DE SODIO,"CLORETO DE SODIO 0,9% SPRAY NASAL 150 ML JATO FORTE",26.693033,300,0,25.25,1202,DIVCOM S/A
66641,2022-08-05,2022-08-22,2455,RINGER SOL INJ IV 500ML,FRESENIUS,CLORETO DE SODIO+CLORETO DE POTASSIO+CLORETO DE CALCIO DI-HI,CLORETO DE SODIO+CLORETO DE POTASSIO+CLORETO DE CA INJETAVEL (SOL INJ IV 500ML),5.0,1110,0,2.65,722,FRESENIUS KABI BRASIL LTDA.
403053,2023-10-31,2023-11-08,3584,PLASMAISTAR SOL INF IV 500ML,HALEX ISTAR,CLORETO DE SODIO+GLICONATO DE SODIO+ACETATO DE SODIO TRIHIDRATADO+CLORETO DE POTASSIO+CLORETO DE MAG,CLORETO DE SODIO+GLICONATO DE SODIO+ACETATO DE SOD INJETAVEL (SOL INJ IV 500ML ),26.0,210,0,26.0,597,HALEX ISTAR INDUSTRIA FARMACEUTICA SA
261134,2024-05-21,2024-05-29,1305,SUCCITRAT 500MG PO INJ IV/IM 10ML,BLAU,CLORETO DE SUXAMETONIO,CLORETO DE SUXAMETONIO  (500MG  PO INJ IV/IM),23.0,600,0,24.12,172,BLAU FARMACEUTICA S.A.
711183,2023-03-29,2023-04-11,1835,SUCCINIL COLIN 100MG PO INJ,UNIAO QUIMICA,CLORETO DE SUXAMETONIO,CLORETO DE SUXAMETONIO (100MG PO LIOFILO INJETAVEL),12.0,200,10,17.11,1163,UNIAO QUIMICA FARMACEUTICA NACIONAL S A
289679,2025-06-23,2025-06-30,914,SUCCITRAT 100MG PO INJ IV/IM 10ML,BLAU,CLORETO DE SUXAMETONIO,CLORETO DE SUXAMETONIO (100MG PO LIOFILO INJETAVEL),15.5,300,0,14.95,172,BLAU FARMACEUTICA S.A.
77710,2025-01-23,2025-02-07,4656,CHLORCLEAR CLOREXIDINA 2%  AQUOSA 100ML,VIC PHARMA,CLOREXIDINA,CLOREXIDINA 2%  AQUOSA 100ML,2.05,336,51,2.05,161,VIC PHARMA INDUSTRIA E COMERCIO LTDA
