cod_produto,desc_unimed,linha_produto,principio_ativo,best_cod_item,best_desc_global,sim_desc,sim_linha,best_sim,sim_bin
5865,GLICLAZIDA 30MG - 30CP LIB. PROL.,GLICLAZIDA (30MG COMPRIMIDO LIBERACAO PROLONGADA),GLICLAZIDA,86600,gliclazida 30 mg com lib prol,0.9333333333333333,0.8,0.9333333333333333,0.9-1.0
5867,GLICLAZIDA 30MG - 60CP LIB. PROL.,GLICLAZIDA (30MG COMPRIMIDO LIBERACAO PROLONGADA),GLICLAZIDA,86600,gliclazida 30 mg com lib prol,0.9333333333333333,0.8,0.9333333333333333,0.9-1.0
2925,DIAMICRON MR 30MG CP VP,GLICLAZIDA (30MG COMPRIMIDO LIBERACAO PROLONGADA),GLICLAZIDA,86600,gliclazida 30 mg com lib prol,0.49056603773584906,0.8,0.8,0.7-0.8
4061,GLICLAZIDA 30MG CP,GLICLAZIDA (30MG COMPRIMIDO LIBERACAO PROLONGADA),GLICLAZIDA,86600,gliclazida 30 mg com lib prol,0.7916666666666666,0.8,0.8,0.7-0.8
2924,DIAMICRON MR 60MG CP VP,GLICLAZIDA (60MG COMPRIMIDO LIBERACAO PROLONGADA),GLICLAZIDA,86600,gliclazida 30 mg com lib prol,0.4528301886792453,0.7714285714285715,0.7714285714285715,0.7-0.8
2031,GLICONATO DE CALCIO 100 MG/ML INJ 10 ML,GLICONATO DE CALCIO (100MG/ML SOLUCAO INJETAVEL 10ML),GLICONATO DE CALCIO,86601,gliconato de calcio 10% (100 mg/ml) sol inj amp 10 ml,0.8764044943820225,0.8913043478260869,0.8913043478260869,0.8-0.9
3691,KP GLICOSE 10% 1000 ML,GLICOSE (10% SOLUCAO INJETAVEL 1000ML),GLICOSE,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.5084745762711864,0.6875,0.6875,0.6-0.7
5408,GLICOSE 10% INJ IV 500 ML,GLICOSE (10% SOLUCAO INJETAVEL IV 500ML),GLICOSE,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.5161290322580645,0.6666666666666666,0.6666666666666666,0.6-0.7
3220,GLICOSE 10% INJ IV 500ML HIPERT,GLICOSE (100MG/ML SOLUCAO PARA INFUSAO IV SISTEMA FECHADO 500 ML),GLICOSE,87314,glicose 5% 100 ml fr sistema fechado,0.46153846153846156,0.6464646464646465,0.6464646464646465,0.6-0.7
1354,GLICOSE 25% INJ IV 10 ML HIPERT,GLICOSE (25% SOLUCAO INJETAVEL IV 10ML),GLICOSE,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.5882352941176471,0.7076923076923077,0.7076923076923077,0.7-0.8
3402,GLICOSE 10% INJ IV 250ML HIPERT,GLICOSE (5% SOLUCAO INJETAVEL IV 250ML),GLICOSE,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.5294117647058824,0.676923076923077,0.676923076923077,0.6-0.7
2971,GLICOSE 5% INJ IV 500 ML,GLICOSE (5% SOLUCAO INJETAVEL IV 500ML),GLICOSE,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.5245901639344263,0.676923076923077,0.676923076923077,0.6-0.7
4002,GLICOSE 5% INJ IV 500 ML VP,GLICOSE (5% SOLUCAO INJETAVEL IV 500ML),GLICOSE,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.5625,0.676923076923077,0.676923076923077,0.6-0.7
3218,GLICOSE 5% INJ IV 500 ML,GLICOSE (5% SOLUCAO INJETAVEL IV 500ML),GLICOSE,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.5245901639344263,0.676923076923077,0.676923076923077,0.6-0.7
4451,GLICOSE 50% INJ IV 10ML,GLICOSE (50% SOLUCAO INJETAVEL IV 10ML),GLICOSE,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.6666666666666666,0.7384615384615385,0.7384615384615385,0.7-0.8
1312,GLICOSE 50% INJ IV 10 ML HIPERT,GLICOSE (50% SOLUCAO INJETAVEL IV 10ML),GLICOSE,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.6176470588235294,0.7384615384615385,0.7384615384615385,0.7-0.8
5572,GLICOSE 50% INJ IV 10ML,GLICOSE (50% SOLUCAO INJETAVEL IV 10ML),GLICOSE,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.6666666666666666,0.7384615384615385,0.7384615384615385,0.7-0.8
2033,GLICOSE 50% INJ IV 10 ML HIPERT,GLICOSE (50% SOLUCAO INJETAVEL IV 10ML),GLICOSE,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.6176470588235294,0.7384615384615385,0.7384615384615385,0.7-0.8
1074,GLICOSE 50% INJ IV 20 ML HIPERT,GLICOSE (50% SOLUCAO INJETAVEL IV 20ML),GLICOSE,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.5882352941176471,0.7076923076923077,0.7076923076923077,0.7-0.8
2023,GLICOSE 50% INJ IV 20 ML HIPERT,GLICOSE (50% SOLUCAO INJETAVEL IV 20ML),GLICOSE,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.5882352941176471,0.7076923076923077,0.7076923076923077,0.7-0.8
5427,GLICOSE 5% SOL INFUS IV SIST FECH 100ML,GLICOSE (50MG/ML SOL INJ IV FR SIST FECH 100 ML),GLICOSE,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.5789473684210527,0.7058823529411765,0.7058823529411765,0.7-0.8
3219,GLICOSE 5% SOL INFUS IV SIST FECH 100ML,GLICOSE (50MG/ML SOL INJ IV FR SIST FECH 100 ML),GLICOSE,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.5789473684210527,0.7058823529411765,0.7058823529411765,0.7-0.8
2210,GLICOSE 5% INJ IV 1000 ML,GLICOSE (50MG/ML SOL INJ IV FR SIST FECH 1000ML),GLICOSE,83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.6451612903225806,0.6823529411764706,0.6823529411764706,0.6-0.7
4040,GLICOSE 5% INJ IV 250 ML,GLICOSE (50MG/ML SOLUCAO INJETAVEL IV SISTEMA FECHADO 250ML),GLICOSE,87312,glicose 5% 500 ml fr sistema fechado,0.5172413793103449,0.7142857142857143,0.7142857142857143,0.7-0.8
2968,GLICOSE 5% INJ IV 250 ML,GLICOSE (50MG/ML SOLUCAO INJETAVEL IV SISTEMA FECHADO 250ML),GLICOSE,87312,glicose 5% 500 ml fr sistema fechado,0.5172413793103449,0.7142857142857143,0.7142857142857143,0.7-0.8
1602,GLICOSE 5% INJ IV 250 ML,GLICOSE (50MG/ML SOLUCAO INJETAVEL IV SISTEMA FECHADO 250ML),GLICOSE,87312,glicose 5% 500 ml fr sistema fechado,0.5172413793103449,0.7142857142857143,0.7142857142857143,0.7-0.8
4815,GLICOSE 5%  250 ML BOLSA PVC,GLICOSE (50MG/ML SOLUCAO INJETAVEL IV SISTEMA FECHADO 250ML),GLICOSE,87312,glicose 5% 500 ml fr sistema fechado,0.6557377049180327,0.7142857142857143,0.7142857142857143,0.7-0.8
4693,"POLYDRAT REIDRATANTE ORAL 50 ENV 27,9G","GLICOSE ANIDRA+CITRATO DE SODIO+CLORETO DE SODIO+ CLORETO DE POTASSIO 28,52G NATURAL ENVELOPE",CLORETO DE SODIO+CLORETO DE POTASSIO+CITRATO DE SODIO+GLICOS,86942,"macrogol 3350 + bicarbonato de sodio + cloreto de sodio + cloreto de potassio 13,125 g + 0,1775 g + 0,3507 g + 0,0466 g env or 14 g (muvinlax)",0.17964071856287425,0.5882352941176471,0.5882352941176471,0.5-0.6
