linha_produto,principio_ativo,n_skus,marcas,cod_item_fuzz_token_set,desc_fuzz_token_set,fuzz_token_set,cod_item_fuzz_token_sort,desc_fuzz_token_sort,fuzz_token_sort,cod_item_fuzz_wratio,desc_fuzz_wratio,fuzz_wratio,cod_item_tfidf,desc_tfidf,tfidf,cod_item_spacy,desc_spacy,spacy,score_mean,score_max,score_std,best_method,best_cod_item,best_desc_global
"LEUPRORRELINA (3,75MG PO LIOF SUS INJ IM FA USO ADULTO/PEDIATRICO)",ACETATO DE LEUPRORRELINA,1,['SANDOZ'],86583,cefepima 1 g po liof inj fa,0.68,104303,"palmitato de paliperidona  350 mg/ 1,75ml sus inj lib prol ser preenc invegatrinza",0.51,108044,ravulizumabe 100 mg/ml fa 3 ml ultomiris,0.86,84316,filtro hmef pediatrico,0.3281197852030897,87094,pantoprazol 40 mg po liof inj fa,0.8537675142288208,0.6463774598863821,0.86,0.2289445667341354,fuzz_wratio,108044,ravulizumabe 100 mg/ml fa 3 ml ultomiris
PROPIONATO DE FLUTICASONA+XINAFOATO DE SALMETEROL  (250+25MCG SUS INAL),PROPIONATO DE FLUTICASONA+XINAFOATO DE SALMETEROL,1,['GSK'],86503,"beclometasona, dipropionato 0,4 mg/ml sus nas flac 2 ml",0.6,86818,"fluticasona, furoato 27,5 mcg/dose sus spr nas fr 120 doses",0.59,98005,reviscon mono 48mg ah (2.0%) em 2.4ml de solução,0.86,86818,"fluticasona, furoato 27,5 mcg/dose sus spr nas fr 120 doses",0.3223273109209988,108872,fixador de canula de traqueostomia adulto,0.8591101765632629,0.6462874974968523,0.86,0.22429196582602073,fuzz_wratio,98005,reviscon mono 48mg ah (2.0%) em 2.4ml de solução
"CLORIDRATO DE METILFENIDATO (10MG CP) A3
",CLORIDRATO DE METILFENIDATO,1,['EMS'],111420,cloridrato de metformina+dapagliflozina (1000mg + 5mg),0.64,111420,cloridrato de metformina+dapagliflozina (1000mg + 5mg),0.64,92737,indicador de limpeza atp,0.86,86786,"fenilefrina, cloridrato 10% sol oft gt fr 5 ml",0.2212248986121016,111420,cloridrato de metformina+dapagliflozina (1000mg + 5mg),0.869994044303894,0.6462437885831991,0.869994044303894,0.26290441298994377,spacy,111420,cloridrato de metformina+dapagliflozina (1000mg + 5mg)
PROPIONATO DE FLUTICASONA+XINAFOATO DE SALMETEROL  (125+25MCG SUS INAL),PROPIONATO DE FLUTICASONA+XINAFOATO DE SALMETEROL,1,['GSK'],86503,"beclometasona, dipropionato 0,4 mg/ml sus nas flac 2 ml",0.59,86818,"fluticasona, furoato 27,5 mcg/dose sus spr nas fr 120 doses",0.59,98005,reviscon mono 48mg ah (2.0%) em 2.4ml de solução,0.86,86818,"fluticasona, furoato 27,5 mcg/dose sus spr nas fr 120 doses",0.32476004766491245,108872,fixador de canula de traqueostomia adulto,0.8646783828735352,0.6458876861076895,0.8646783828735352,0.22532381090354262,spacy,108872,fixador de canula de traqueostomia adulto
CLORIDRATO DE DOXORRUBICINA (50MG PO LIOFILO SOLUCAO INJETAVEL IV),CLORIDRATO DE DOXORRUBICINA,4,"['BERGAMO', 'EUROFARMA ONCO', 'FARMARIN ONCO']",86704,"escetamina, cloridrato de 50 mg/ml sol inj amp 2 ml im/ev (ketamin)",0.63,86865,"hidroxizina, cloridrato de 2 mg/ml sol or fr 120 ml",0.63,110403,"skyrizi 150 mg/ml sol inj carp plas trans x 2,4 ml + disp autoinj - risanquizumabe &#x2013 carp",0.86,86651,"doxiciclina, cloridrato de 100 mg com rev",0.24800942211852955,102978,sacituzumabe govitecana 200 mg po liof sol inj iv fa trodelvy ,0.8614068627357483,0.6458832569708556,0.8614068627357483,0.25055166555593383,spacy,102978,sacituzumabe govitecana 200 mg po liof sol inj iv fa trodelvy 
IFOSFAMIDA (2G PO LIOFILO PARA SOLUCAO INJETAVEL),IFOSFAMIDA,2,['EUROFARMA ONCO'],87094,pantoprazol 40 mg po liof inj fa,0.64,86620,hidrocortisona 500 mg po liof sol inj fa,0.6,86318,ceftazidima + avibactam 2000 mg + 500 mg po liof inj fa (torgena),0.86,86341,ciclofosfamida monoidratada 50 mg com rev lib retard genuxal,0.25293598767793457,86319,"ceftolozana 1 g + tazobactam 0,5 g po liof sol inj fa",0.8745913505554199,0.6455054676466709,0.8745913505554199,0.25233910741313426,spacy,86319,"ceftolozana 1 g + tazobactam 0,5 g po liof sol inj fa"
"SOMATROPINA (15MG (45UI) SOL INJ SUBCUTANEA CARPULE 1,5ML)
",SOMATROPINA,2,['SANDOZ'],86494,"atropina 0,25 mg/ml sol inj amp 1 ml",0.57,87234,"terbutalina 0,5 mg/ml sol inj amp 1 ml",0.52,110403,"skyrizi 150 mg/ml sol inj carp plas trans x 2,4 ml + disp autoinj - risanquizumabe &#x2013 carp",0.86,86494,"atropina 0,25 mg/ml sol inj amp 1 ml",0.31482354478016206,86769,escopolamina 20 mg/ml sol inj 1 ml amp,0.960979700088501,0.6451606489737325,0.960979700088501,0.2628376558871906,spacy,86769,escopolamina 20 mg/ml sol inj 1 ml amp
ELETRODO 2223BR,PRODUTOS PARA SAUDE,1,['3M'],87515,eletrodo descartavel adulto,0.7,101407,gorro flexitrunk 22-25cm bc303,0.49,87515,eletrodo descartavel adulto,0.86,87515,eletrodo descartavel adulto,0.42301736693979847,87515,eletrodo descartavel adulto,0.752433180809021,0.6450901095497639,0.86,0.18309364893438348,fuzz_wratio,87515,eletrodo descartavel adulto
"CLORIDRATO DE METILFENIDATO (10MG CPR) A3
",CLORIDRATO DE METILFENIDATO,1,['EMS'],111420,cloridrato de metformina+dapagliflozina (1000mg + 5mg),0.63,111420,cloridrato de metformina+dapagliflozina (1000mg + 5mg),0.63,92737,indicador de limpeza atp,0.86,86786,"fenilefrina, cloridrato 10% sol oft gt fr 5 ml",0.21378250399892018,111420,cloridrato de metformina+dapagliflozina (1000mg + 5mg),0.8909680843353271,0.6449501176668495,0.8909680843353271,0.2707045506302933,spacy,111420,cloridrato de metformina+dapagliflozina (1000mg + 5mg)
VINCRISTINA (1MG/ML INJ FR 2ML),SULFATO DE VINCRISTINA,1,['ACCORD'],106331,etilefrina 10mg/ml sol inj amp 1ml,0.63,113736,propofol 10mg/ml sol inj fa 20ml,0.62,115190,dupilumabe 150 mg/ml sol inj can 2 ml - dupixent,0.86,83676,gentamicina 40 mg/ml sol inj amp 2ml,0.1449881589682613,112392,bimequizumabe 160 mg/ml sol inj can preenc 1 ml bimzelx,0.9663840532302856,0.6442744424397093,0.9663840532302856,0.31637474562368645,spacy,112392,bimequizumabe 160 mg/ml sol inj can preenc 1 ml bimzelx
